Gender,Age,Song-Artist,Mood,Time of the day,Location,Activity
female,29,K-Otix - Do You Wanna Be an MC,excited,afternoon,work,working
female,29,Reggie Reg - Presence Of The Past ,excited,afternoon,work,working
female,29,Emanon - Blind Individuals,excited,afternoon,work,working
female,29,Fat Larry's Band - Act Like You Know,relaxed,afternoon,work,working
female,29,Tech Support - Good to You,relaxed,afternoon,work,working
female,29,Oliver Cheatham - Get Down Saturday Night (Extended Radio Version - Remastered),relaxed,afternoon,work,working
female,29,Grouplove - Itching on a Photograph,sleepy,morning,outdoor,commuting
female,29,Grouplove - Lovely Cup,sleepy,morning,work,working
female,29,Sarah Jaffe - Clementine,sleepy,morning,work,working
female,29,Mogwai - Take Me Somewhere Nice,calm,morning,work,working
female,29,John Waite - Missing You,bored,afternoon,work,working
female,29,Cutting Crew - (I Just) Died In Your Arms,bored,afternoon,work,working
female,29,Foreigner - Waiting For A Girl Like You,bored,afternoon,work,working
female,29,Roxy Music - More Than This,bored,afternoon,work,working
female,29,Squeeze - Tempted,bored,afternoon,work,working
female,29,REO Speedwagon - Keep On Loving You,bored,afternoon,work,working
female,29,Night Ranger - Sister Christian,bored,afternoon,work,working
female,29,Luther Vandross - Never Too Much,bored,afternoon,work,working
female,29,Kate Bush - Wow,bored,afternoon,work,working
female,29,Jan Hammer  - Crockett's Theme,bored,afternoon,work,working
female,29,Oasis - Supersonic,nervous,midday,work,working
female,29,"Foreigner - ""I Want to Know What Love Is""",nervous,midday,work,working
female,29,"Dan Hartman - ""I Can Dream About You""",nervous,midday,work,working
female,29,"Phil Collins - ""In the Air Tonight""",nervous,midday,work,working
female,29,"Elkie Brooks - ""Fool If You Think It's Over""",nervous,midday,work,working
female,29,"The Motels - ""Only the Lonely""",nervous,midday,work,working
female,29,"Quarterflash - ""Harden My Heart""",nervous,midday,work,working
female,29,"Toto - ""Make Believe""",nervous,midday,work,working
female,29,"The Assembly - ""Never Never""",nervous,midday,work,working
female,29,"Pat Benatar - ""We Belong""",nervous,midday,work,working
female,29,"Roxy Music - ""Avalon""",nervous,midday,work,working
female,29,"Eddie Money - ""Baby Hold On""",nervous,midday,work,working
female,29,"Giuffria - ""Call to the Heart""",nervous,midday,work,working
female,29,"Rainbow - ""Stone Cold""",nervous,midday,work,working
female,29,"10cc - ""I'm Not in Love""",nervous,midday,work,working
female,29,"The Passions - ""I'm in Love with a German Film Star""",nervous,midday,work,working
female,29,"Art of Noise - ""Moments in Love""",nervous,midday,work,working
female,29,"Pretenders - ""Private Life""",nervous,midday,work,working
female,29,Genesis - Invisible Touch,pleased,morning,work,working
female,29,"Genesis - Tonight, Tonight, Tonight",pleased,morning,work,working
female,29,Genesis - Land Of Confusion,pleased,morning,work,working
female,29,Genesis - In Too Deep,pleased,morning,work,working
female,29,Genesis - Anything She Does,pleased,morning,work,working
female,29,Genesis - Domino [Part 1: In The Glow Of The Night - Part 2: The Last Domino],pleased,morning,work,working
female,29,Genesis - Throwing It All Away,pleased,morning,work,working
female,29,Genesis - The Brazilian,pleased,morning,work,working
female,29,Genesis - Do The Neurotic,pleased,morning,work,working
female,29,Genesis - I'd Rather Be You,pleased,morning,work,working
female,29,Genesis - Feeding The Fire,pleased,morning,work,working
female,29,Genesis - Throwing It All Away [Live],pleased,morning,work,working
female,29,Genesis - Invisible Touch,pleased,morning,work,working
female,29,"Genesis - Tonight, Tonight, Tonight",pleased,morning,work,working
female,29,Genesis - Land Of Confusion,pleased,morning,work,working
female,29,Genesis - Invisible Touch,pleased,morning,work,working
female,29,"Genesis - Tonight, Tonight, Tonight",pleased,morning,work,working
female,29,Genesis - Land Of Confusion,pleased,morning,work,working
female,29,Genesis - Invisible Touch,excited,afternoon,work,working
